      0.00000  9.30000e+07
      10.0000  9.30010e+07
      20.0000  9.30039e+07
      30.0000  9.30087e+07
      40.0000  9.30155e+07
      50.0000  9.30243e+07
      60.0000  9.30349e+07
      70.0000  9.30476e+07
      80.0000  9.30621e+07
      90.0000  9.30786e+07
      100.000  9.30970e+07
      110.000  9.31174e+07
      120.000  9.31398e+07
      130.000  9.31640e+07
      140.000  9.31902e+07
      150.000  9.32184e+07
      160.000  9.32484e+07
      170.000  9.32805e+07
      180.000  9.33144e+07
      190.000  9.33503e+07
      200.000  9.33882e+07
      210.000  9.34280e+07
      220.000  9.34697e+07
      230.000  9.35134e+07
      240.000  9.35590e+07
      250.000  9.36066e+07
      260.000  9.36560e+07
      270.000  9.37075e+07
      280.000  9.37609e+07
      290.000  9.38162e+07
      300.000  9.38734e+07
      310.000  9.39326e+07
      320.000  9.39938e+07
      330.000  9.40569e+07
      340.000  9.41219e+07
      350.000  9.41888e+07
      360.000  9.42578e+07
      370.000  9.43286e+07
      380.000  9.44014e+07
      390.000  9.44761e+07
      400.000  9.45528e+07
      410.000  9.46314e+07
      420.000  9.47119e+07
      430.000  9.47944e+07
      440.000  9.48789e+07
      450.000  9.49652e+07
      460.000  9.50536e+07
      470.000  9.51438e+07
      480.000  9.52360e+07
      490.000  9.53301e+07
      500.000  9.54262e+07
      510.000  9.55242e+07
      520.000  9.56242e+07
      530.000  9.57261e+07
      540.000  9.58299e+07
      550.000  9.59357e+07
      560.000  9.60434e+07
      570.000  9.61531e+07
      580.000  9.62647e+07
      590.000  9.63783e+07
      600.000  9.64938e+07
      610.000  9.66112e+07
      620.000  9.67306e+07
      630.000  9.68519e+07
      640.000  9.69751e+07
      650.000  9.71003e+07
      660.000  9.72274e+07
      670.000  9.73565e+07
      680.000  9.74875e+07
      690.000  9.76205e+07
      700.000  9.77554e+07
      710.000  9.78922e+07
      720.000  9.80310e+07
      730.000  9.81717e+07
      740.000  9.83144e+07
      750.000  9.84590e+07
      760.000  9.86055e+07
      770.000  9.87540e+07
      780.000  9.89044e+07
      790.000  9.90568e+07
      800.000  9.92111e+07
      810.000  9.93674e+07
      820.000  9.95256e+07
      830.000  9.96857e+07
      840.000  9.98478e+07
      850.000  1.00012e+08
      860.000  1.00178e+08
      870.000  1.00346e+08
      880.000  1.00515e+08
      890.000  1.00687e+08
      900.000  1.00861e+08
      910.000  1.01037e+08
      920.000  1.01214e+08
      930.000  1.01394e+08
      940.000  1.01575e+08
      950.000  1.01759e+08
      960.000  1.01944e+08
      970.000  1.02131e+08
      980.000  1.02321e+08
      990.000  1.02512e+08
      1000.00  1.02705e+08
